['6', '5064', '品川二千', '22', '山口', '52', 'B1', '3.93', '18.06', '1.86', '0.00', '59', '16.67', '74', '新規']
['1', '5042', '畑田汰一', '22', '埼玉', '54', 'A2', '6.39', '48.51', '0.00', '0.00', '21', '16.67', '60', '36.84']
['2', '4925', '森\u3000悠稀', '28', '兵庫', '53', 'B1', '5.45', '37.65', '4.48', '28.00', '75', '新規', '34', '42.11']
['3', '5008', '羽野\u3000諒', '24', '福岡', '52', 'B1', '3.99', '13.58', '3.31', '0.00', '12', '新規', '83', '新規']
['4', '4920', '桐村翔太', '30', '大阪', '50', 'B2', '3.86', '24.29', '3.38', '7.14', '78', '12.50', '50', '37.50']
['5', '5121', '定松勇樹', '19', '佐賀', '52', 'B1', '5.67', '39.76', '0.00', '0.00', '58', '新規', '11', '17.65']
['6', '4928', '栗城\u3000匠', '25', '東京', '52', 'A1', '6.58', '47.24', '5.61', '42.86', '66', '37.50', '92', '新規']
['1', '4857', '加藤翔馬', '23', '兵庫', '56', 'A2', '5.84', '44.44', '5.31', '35.90', '31', '新規', '36', '33.33']
['2', '5068', '前田\u3000滉', '21', '愛知', '50', 'A2', '5.74', '35.51', '5.25', '33.33', '87', '0.00', '82', '新規']
['3', '5034', '若林義人', '23', '静岡', '58', 'B1', '4.99', '30.69', '0.88', '0.00', '18', '新規', '77', '新規']
['4', '4967', '中村魁生', '22', '大阪', '51', 'A2', '5.87', '38.93', '4.87', '25.33', '67', '11.76', '94', '新規']
['5', '4908', '上田龍星', '25', '大阪', '51', 'A1', '6.81', '47.42', '6.03', '42.51', '64', '22.22', '28', '27.78']
['6', '4985', '井本昌也', '24', '山口', '50', 'B1', '4.93', '28.30', '3.86', '14.29', '65', '20.00', '89', '新規']
['1', '4931', '木谷賢太', '25', '香川', '53', 'A2', '6.26', '43.17', '5.29', '34.29', '24', '40.00', '81', '新規']
['2', '4910', '中村泰平', '25', '愛知', '52', 'A2', '6.07', '46.61', '6.55', '51.72', '73', '35.00', '56', '11.76']
['3', '4828', '松山将吾', '26', '滋賀', '52', 'A1', '5.70', '39.42', '5.66', '37.14', '89', '新規', '80', '新規']
['4', '4989', '石原\u3000翼', '23', '静岡', '52', 'B1', '4.40', '24.68', '5.05', '22.73', '54', '41.67', '72', '新規']
['5', '4914', '吉田裕平', '24', '愛知', '51', 'A1', '5.39', '36.54', '0.00', '0.00', '56', '新規', '23', '38.89']
['6', '5037', '田頭虎親', '23', '香川', '54', 'B1', '4.68', '30.43', '4.70', '20.00', '34', '新規', '22', '17.65']
['1', '4719', '上條暢嵩', '27', '大阪', '52', 'A1', '7.29', '59.46', '6.83', '49.32', '53', '新規', '79', '新規']
['2', '4912', '中山将太', '25', '福井', '53', 'B1', '5.55', '35.29', '4.36', '18.18', '37', '33.33', '57', '17.65']
['3', '4959', '井上忠政', '25', '大阪', '52', 'A1', '6.51', '47.89', '5.87', '40.91', '19', '27.78', '84', '新規']
['4', '4939', '宮之原輝', '23', '東京', '50', 'A1', '6.52', '48.96', '6.06', '41.18', '57', '33.33', '31', '16.67']
['5', '4886', '入海\u3000馨', '25', '岡山', '53', 'A2', '7.16', '55.56', '4.57', '35.71', '76', '55.56', '14', '27.78']
['6', '4826', '井上一輝', '26', '大阪', '51', 'A2', '6.52', '52.00', '6.01', '43.33', '29', '27.78', '17', '31.58']
